From,To,Similarity
Hi Line Audio System - 600 W,Radio FM,0.184
Hastighetsreguleringsenhet,Sentrallås,0.053
- El. bakluke,,0.0
- Airbag passasjersete med bryter for deaktivering,Airbag foran,0.352
- Comfortvegg ettermontert,Lettmet. felg vinter,0.154
- Fjernkontroll for dieselvarmer,Oppvarmede seter,0.151
- Integrert takstativ,Vinterhjul,0.126
- Kledning i varerom full høyde,Oppvarmede seter,0.05
- LED lys i varerom,Oppvarmede seter,0.086
- Skyvedør venstre side - Inkl. vindu begge sider,El.vinduer,0.155
- Strømuttak bak - 12V,,0.0
- Tilhengerfeste,,0.0
- Topphengslet bakluke,Lettmet. felg vinter,0.09
- Vindu bak,El.vinduer,0.453
- Wurth reolsystem ink dørk montert,Vinterhjul,0.067
"59 5RQ VWGROUP ASR Right exterior mirror, convex",Vinterhjul,0.023
nødhjelpassistanse og fjernkontroll for radio i rattet,Radio FM,0.274
stemmkontroll og 4 høyttalere,Sentrallås,0.051
"15"" sommerhjul",Sommerhjul,1.0
"15"" vinterhjul",Vinterhjul,1.0
58 5MQ VWGROUP EIH Dash pad in dark silver metallic,Sentrallås,0.059
Fjernlyassistanse,Startsperre,0.048
- 230V uttak,,0.0
Skinn valcona komf.seter s-line,Oppvarmede seter,0.107
Sensorstyrt elektrisk åpning/lukking av bakluke,Elektriske speil,0.289
Assistentpakke By,Sentrallås,0.07
- Tilhengerfeste - avtagbart,Startsperre,0.044
61 6A0 VWGROUP FEU Without fire extinguisher,Servostyring,0.015
60 5SL VWGROUP ASL Aspherical exterior mirror on driver side,Vinterhjul,0.02
"Sun-set, ekstra mørke ruter bak",Kjørecomputer,0.091
El. justerbare seter foran,Airbag foran,0.356
FULL LED LYS,,0.0
Harman Kardon HiFi system,Oppvarmede seter,0.06
360-graders kamera,Radio FM,0.137
Assistentpakke Tur,Sentrallås,0.066
Matrix hovedlys,Elektriske speil,0.067
Audi Pre Sense Rear,Sentrallås,0.109
Audi Virtual Cockpit Plus,,0.0
Bang &amp; Olufsen Premium Sound System,Sentrallås,0.062
Dekor ask naturgrå vulkan,,0.0
6 0KA VWGROUP KAE Without decals and emblems,ABS-Bremser,0.053
El.seter med memory,Oppvarmede seter,0.215
Individualkonturseter komb s-line,Oppvarmede seter,0.089
LED baklys m/dynamiske blinklys,Elektriske speil,0.114
Kjøreassistent,Kjørecomputer,0.223
Komplett sommerhjul,Sommerhjul,0.711
Komplett vinterhjul,Vinterhjul,0.672
46 4K3 VWGROUP TKV Central locking with radio remote control,Radio FM,0.281
49 4N2 VWGROUP INT Two-piece dashboard,Vinterhjul,0.04
"48 4L1 VWGROUP IRS Breakaway interior rearview mirror, dimming",Vinterhjul,0.083
47 4KC VWGROUP SSH Green heat-insulating glass,Servostyring,0.015
Høyde/Lengde justerbart ratt,Multifunksjonsratt,0.087
-Handsfree bakluke,,0.0
-Komplette vinterhjul,Vinterhjul,0.655
-Mørktonet glass,,0.0
-St-Line stilpakke Stor bakspoiler,,0.0
45 4B0 VWGROUP SSL Without protective side molding,Servostyring,0.016
50 4R1 VWGROUP FEH Power windows in front,El.vinduer,0.044
44 4A3 VWGROUP SIH Heated front seats,,0.0
43 3U4 VWGROUP GPR Luggage compartment cover,Kjørecomputer,0.109
42 3S0 VWGROUP DAR Without roof rails/roof load rack,,0.0
"41 3Q3 VWGROUP KOH 2 head restraints in rear, lowerable",Sentrallås,0.049
"40 3NN VWGROUP HIS Unsplit rear seat bench, 2 seats, backrest symmetric split folding",Lettmet. felg sommer,0.062
4 0G0 VWGROUP GES Cable gearshift,,0.0
- Autonom nødbremsing - By,ABS-Bremser,0.211
38 3L1 VWGROUP SIE Height adjustable driver´s seat,Startsperre,0.038
5 0K0 VWGROUP ASY Without alternative drive system,Vinterhjul,0.023
51 4SN VWGROUP MSL Ticket holder in driver's sun visor,Isofix,0.104
"Onboard-lader ac 7,4kw 1-fas",,0.0
Smartphone interface (apple carplay - android auto),Vinterhjul,0.097
Active Cruisekontroll,Sentrallås,0.061
"Digitalt kombiinstrument 12.3"" display",Antispinn,0.077
Driver assistance system: active lane assist (lka),Startsperre,0.039
Driver assistance system: driving-profile selection,Isofix,0.094
Driver assistance system: traffic sign detection,Sentrallås,0.056
Infotainment system: sensus connect with high performance sound,Sentrallås,0.079
Parking aid front and rear,Servostyring,0.027
Seat front electrically adjustable (with memo,Elektriske speil,0.08
Svingbare aktive led hovedlys (thors hammer),Sommerhjul,0.103
52 4TB VWGROUP MSR Vanity mirror in front passenger sun visor,Isofix,0.098
Trailer coupling semi-electric,Elektriske speil,0.081
57 5K7 VWGROUP LAC Transport protection film (minimum protection) with additional transport,Sentrallås,0.06
"alufelg 7,5x19 (5-spoke, diamond cut / black)",Lettmet. felg vinter,0.101
56 5D1 VWGROUP TRF Carrier frequency 433.92 MHz-434.42 Mhz,,0.0
"20"" Alufelg i 5-arms dynamic design kontrastgrå",Lettmet. felg vinter,0.105
55 4Z1 VWGROUP HAK Glove compartment with lid,Kjørecomputer,0.117
"54 4X1 VWGROUP SAB Combined curtain and side air bag, front",Airbag foran,0.141
"53 4UF VWGROUP AIB Airbag on driver and front passenger side, without knee airbag, with front",Airbag foran,0.433
62 6B0 VWGROUP VZU Without lashing rings for load restraintsystem,Servostyring,0.053
Utvidet skinn pakke,Antispinn,0.065
Engine Power Badge EV400 BADGE,,0.0
Svart Takhimling,Startsperre,0.05
"91 9JA VWGROUP RAU Non-smoker's version, socket with cover instead of cigarette lighter front",Lettmet. felg vinter,0.053
90 9AB VWGROUP HKA Air conditioning system,Airbag foran,0.084
9 0SA VWGROUP SAU Labels/plates in German/English/French,Antiskrens,0.056
400 Rear armrest,Oppvarmede seter,0.073
413 Automatic panoramic sliding sunroof,Airbag foran,0.053
429 7-speed automatic dual-clutch transmission,Sentrallås,0.046
89 8ZG VWGROUP ANT Antenna for AM/FM reception,Antispinn,0.105
88 8Z7 VWGROUP MKU Cold country,Sentrallås,0.051
4C7 Plant control code,Antispinn,0.089
87 8Y1 VWGROUP SNH Two-tone horn,,0.0
86 8WB VWGROUP NES Front fog lamps,,0.0
"85 8UA VWGROUP RAO Radio ""RCD 215"" with MP3 player incl. CD-player and Mobile Device",Radio FM,0.199
84 8TC VWGROUP NEL Rear fog lamp for driving on the right,Vinterhjul,0.058
83 8T2 VWGROUP GRA Cruise control,Sentrallås,0.056
677 AVANTGARDE/standard suspension,Antiskrens,0.094
82 8RD VWGROUP LSE 2 speakers,Elektriske speil,0.056
81 8P2 VWGROUP BHS Heated rear window,El.vinduer,0.047
7U Seat model variant 3,Antispinn,0.095
80 8M1 VWGROUP HEW Rear window wiper and washer system with intermittent control,Vinterhjul,0.087
92 9Q1 VWGROUP MFA Multi-function display,Multifunksjonsratt,0.31
239 Adaptive cruise control Pro (DISTRONIC Pro),Sentrallås,0.045
213 Speed-sensitive power steering / Vario steering,Servostyring,0.077
152CR Engine Power Source - 400/696,,0.0
064FC Ambient Lighting - 3,Sentrallås,0.046
064FQ Gloss Black grille with Gloss Black surround,,0.0
070BA Powered gesture tailgate / boot lid,Bluetooth,0.067
079AJ Carpet Mats,,0.0
081DB Gloss Black side window surround,El.vinduer,0.04
086GM Blind Spot Assist,El.vinduer,0.056
087CB High-speed Emergency Braking,Sommerhjul,0.038
088HE Suedecloth Headlining,Bluetooth,0.072
181AB Facia Control Panel-High Line,Sentrallås,0.041
"93 9WC VWGROUP AUD Without ""Multimedia"" in vehicle",Multifunksjonsratt,0.139
185AV EV400 badge,,0.0
188HB Ebony Suedecloth Headlining,Bluetooth,0.066
300BX Seat Combination 033NT/033NZ,Kjørecomputer,0.038
590AF HSE 90kWh 400PS Auto,,0.0
Diamond Turned with Gloss Black,,0.0
contrast and Carbon Fibre inserts,ABS-Bremser,0.113
149U Polar white - Standard finish,Startsperre,0.039
15U Pre-installation for MB-Link smartphone integration,Vinterhjul,0.07
853 Midline Sound system,,0.0
"8 0RD VWGROUP ZSS Starter switch locking system, theft protecting",Startsperre,0.111
936 Cylinder cut-out system,El.vinduer,0.053
Individual,El.vinduer,0.067
67 6Q2 VWGROUP SAG Gearshift knob in leather,,0.0
"66 6PC VWGROUP HBV Hand brake lever handle in leather, hand brake lever button in chrome",,0.0
65 6P1 VWGROUP KZH Rear license plate carrier (ECE),Antiskrens,0.042
64 6LH VWGROUP FLA Left/right vent bezels and controls for radio and HVAC painted in chrome,Radio FM,0.216
63 6FB VWGROUP BBO Body-colored exterior mirror housings and door handles,Vinterhjul,0.017
18 veis interiør,Vinterhjul,0.235
E-power,,0.0
Hybrid Auto,,0.0
Nødstoppfunksjon,Multifunksjonsratt,0.314
- Komplette vinterhjul,Vinterhjul,0.655
Nøkkel løs start,Startsperre,0.313
Off road,,0.0
Omgivelses Assist,,0.0
Porsche Active Safe,,0.0
Porsche Logo på Seter,Oppvarmede seter,0.147
Sport Crono,,0.0
Sport Plus,,0.0
Sports eksos,Startsperre,0.103
68 6W1 VWGROUP KZV Front license plate carrier (large),Antiskrens,0.041
"69 6XD VWGROUP ASE Exterior mirrors, electrically adjustable and heated",Elektriske speil,0.062
79 8K1 VWGROUP FLS Separate daytime running light,Multifunksjonsratt,0.03
75 7W1 VWGROUP ESI Autonomous Emergency Braking,Sommerhjul,0.038
78 8GG VWGROUP GEN Alternator 110 A,Vinterhjul,0.027
B63 Engine sound via speakers,Elektriske speil,0.052
F118 Model series 118,ABS-Bremser,0.05
FX Special version,Elektriske speil,0.065
H44 Trim elements - longitudinal grain aluminum (2B45),Elektriske speil,0.059
77 8BD VWGROUP HSW Halogen headlamps and turn signal lamps with chrome elements under one,Sentrallås,0.026
M014 Engine uprated,Multifunksjonsratt,0.043
76 7X1 VWGROUP EPH Park distance control - acoustic warningsignal for obstacles in the rear,Startsperre,0.053
O16 Software fresh-up 3,Isofix,0.119
"7 0PP VWGROUP SZU ""BlueMotion Technology"" nameplate on luggage compartment lid",Bluetooth,0.096
"74 7UE VWGROUP NAV Portable navigation and infotainment system ""maps + more""",Sentrallås,0.03
PAC Value Package,Bluetooth,0.118
73 7MG VWGROUP AGM Emission standard EU5,Startsperre,0.042
72 7M5 VWGROUP EIL Without protective film for scuff plate,Elektriske speil,0.048
PYO Control code for Sales,Sentrallås,0.064
71 7L6 VWGROUP SNA Start/stop system with regenerative braking,Startsperre,0.17
U55 Multi-link axle,Multifunksjonsratt,0.203
70 7AA VWGROUP EDW Electronic immobilizer,Elektriske speil,0.033
37 3H0 VWGROUP LER Without backrest release for front seats,Antiskrens,0.08
stemmkontroll og 4 høyttalere. Med FordPass Connect,Sentrallås,0.04
"""alltrack""",Sentrallås,0.208
"36 3GH VWGROUP LBH Luggage compartment floor adjustable and removable, two heights",Kjørecomputer,0.076
MPSI teknologi,,0.0
MacPherson Strut / Double Wishbone,,0.0
Multi-function leather steering wheel,Multifunksjonsratt,0.337
Multifunction Steering Wheel with Cruise Control,Multifunksjonsratt,0.318
Multifunction camera,Multifunksjonsratt,0.414
Multifunction display/color screen,Multifunksjonsratt,0.291
Multifunksjonskamera,Multifunksjonsratt,0.66
Multimedieinngang for eksterne lydkilder,Multifunksjonsratt,0.126
Navigasjonsenhet-High,Multifunksjonsratt,0.107
Navigasjonssystem-High,Multifunksjonsratt,0.11
"Navigation system ""High""",,0.0
Navigation system - High,,0.0
One-touch Turn Signal,Bluetooth,0.103
PIN Code Access,Antispinn,0.177
Paddle Shifters,Vinterhjul,0.034
Parking aid Plus front and rear,Servostyring,0.025
Power-folding Door Mirrors with LED Turn Signal,Servostyring,0.016
Rear Fog Lamp,,0.0
Rear Seat Armrest,Oppvarmede seter,0.074
"Lyshøyderegulering, autom./dynamisk med adaptive lys og statiske adaptive lys (AFS 2)",Elektriske speil,0.099
"122 U0Q VWGROUP INS Instrument cluster, km/h speedometer",Lettmet. felg vinter,0.076
Lineartronic® CVT with manual mode,Startsperre,0.045
"16 1AT VWGROUP BRS Electronic Stability Control incl. hill hold control, ABS with brake assistant,",ABS-Bremser,0.063
"22 1LA VWGROUP BAV Ventilated disc brakes, front",Antispinn,0.068
21 1KM VWGROUP BAH Drum brakes in rear,,0.0
20 1JC VWGROUP DFH Sports suspension,Startsperre,0.106
2 0AQ VWGROUP STV Front stabilizer bar,Startsperre,0.04
"19 1G1 VWGROUP RER Steel spare wheel 5J X 14, for 15-inch and 16-inch wheels and BlueMotion",Bluetooth,0.092
Limited Sports Edition GT lll,Klimaanlegg,0.074
18 1EX VWGROUP TYP Special identification label for EC for M1 passenger vehicles,Sentrallås,0.073
17 1CI VWGROUP AED Vehicle class differentiation -120-,Antiskrens,0.117
"15 1A3 VWGROUP KRS Fuel system for fuel-injected SI engine,injection system without fuel return",Airbag foran,0.017
123 VL0 VWGROUP FGS Standard pedestrian protection measures,Oppvarmede seter,0.053
14 0Z0 VWGROUP FIB VW brand-specific/class-specific features,Elektriske speil,0.052
"13 0YD VWGROUP GKH Weight range 4 installation control only, no requirement forecast",Sentrallås,0.101
125 X1C VWGROUP Equipment options subset for Norway,Sentrallås,0.032
124 W4A VWGROUP 4 doors,,0.0
Lineartronic,Startsperre,0.066
Lineartronic CVT,Startsperre,0.058
Lineartronic trinnløs automatgirkasse,Elektriske speil,0.04
Lineartronic® CVT,Startsperre,0.058
Rear view camera system,Sommerhjul,0.066
Retractable Cargo Cover,Sentrallås,0.065
Reverse Sensors,Sentrallås,0.098
Vinterpakke (Inkl. oppvarmet ratt og frontrute),Oppvarmede seter,0.399
X-MODE &amp; nedstigningskontroll,Sentrallås,0.044
kneeairbag,Airbag foran,0.453
safety rating (maximum 5),Multifunksjonsratt,0.037
sideairbag foran og hodeairbag,Airbag foran,0.667
Citypakke (inkl. DAB,,0.0
Elektrisk bakluke og nøkkelfri adgang og start,Elektriske speil,0.326
Førerassistentpakke (Inkl. antikollisjonssystem,Antispinn,0.114
Mørketonede glass,Bluetooth,0.123
120 QJ0 VWGROUP CHR Without aluminum/chrome package,,0.0
Vehicle Dynamics Control System (VDC),Sentrallås,0.047
blindsoneinformasjonssystem,Multifunksjonsratt,0.1
navigasjon og B&amp;O Play Sound System med 10 høyttalere),Multifunksjonsratt,0.061
10-way Htd Elc Mem Frt St/ 60:40,,0.0
ACC + Stop/go,,0.0
12 0Y3 VWGROUP KLZ Cold zones,,0.0
Active Grilleshutter,Vinterhjul,0.029
119 QI4 VWGROUP SEA Service indicator 15 000 km or 1 year ( fix ),Isofix,0.107
118 QG0 VWGROUP WIV Without LongLife Service Regime,Servostyring,0.078
Ventilated Disc Brakes / Ventilated Disc Brakes,Antispinn,0.094
"USB Port, HDMI and Auxiliary Audio Input Jack",Radio FM,0.092
Roof Rails,,0.0
Setevarme regulerbar,Oppvarmede seter,0.29
Roof Spoiler,,0.0
Rough-road suspension,Antiskrens,0.05
SD-kort (Europa),,0.0
"SRS Front, Side and Curtain Airbags",Airbag foran,0.369
121 TH4 VWGROUP GMO 3-cylinder SI engine 1.0 l unit 04C.C,El.vinduer,0.036
SRS Knee Airbag,Airbag foran,0.508
Safety Pedal System,,0.0
Safety Rating 5 star ANCAP,Startsperre,0.13
Shark Fin Antenna,Antispinn,0.091
Tåkelys og svingelys,Vinterhjul,0.074
Side Door Reinforcement Beams,Sentrallås,0.043
"Side airbag in front, with curtain airbag",Airbag foran,0.621
Sport-Komfortutrustning Adaptivt,Airbag foran,0.03
Starlink,Startsperre,0.186
Start-stopp-system med regenerativ bremsing,Startsperre,0.188
Start/stop system with regenerative braking,Startsperre,0.206
Steering Responsive Headlights,Servostyring,0.052
Tilt-adjustable / Telescopic Steering Wheel,Servostyring,0.042
"23 1MH VWGROUP LRA Leather-trimmed steering wheel (split leather, 3-spoke)",Sommerhjul,0.041
24 1N3 VWGROUP LEN Electromechanical power steering,Servostyring,0.042
25 1NL VWGROUP RAA Trims for alloy wheels,Sentrallås,0.064
Climatronic med styring av 2. klimasone,Klimaanlegg,0.308
Auto Vehicle Hold,,0.0
Automatic Rain-sensing Windshield Wiper,Sentrallås,0.055
"Bagasjeromstrekk, elektrisk",Elektriske speil,0.388
Bilnøkkel med fjernkontroll,Sentrallås,0.049
Bluetooth Compatible Hands-free System,Bluetooth,0.527
Brake Assist,,0.0
Brake Override,Startsperre,0.149
"Climatronic air conditioning system with electronic control, 2 zones",Klimaanlegg,0.087
Climatronic with control of 2nd climate zone,Klimaanlegg,0.212
Apple CarPlay® connectivity,,0.0
"Climatronic, CFC-fri",Klimaanlegg,0.14
Comfort phone preparation,Kjørecomputer,0.072
Comfort telephony,Kjørecomputer,0.076
Cruise control system (CCS) electronic,Sentrallås,0.051
DOHC motor,,0.0
"Demping bak, versjon for kjøring på dårlig vei",Antispinn,0.114
"Direct Fuel Injection, Horizontally-Opposed, 4-Cylinder, DOHC 16-Valve, Petrol Engine",Kjørecomputer,0.045
"Dobbeltlykter, høyrekjøring (gassutladning) m.integr. fjernlyslykter",Vinterhjul,0.083
Audio System with 8.0-inch Display (with Navigation),Radio FM,0.097
Aluminium Pedals,,0.0
Dynamic headlight range control (dynamic cornering light),Airbag foran,0.04
"""Front Assist"" inkl. city nødbrems for ACC high",ABS-Bremser,0.191
Climatic f/b std.tak,Klimaanlegg,0.159
Gummibel.vare/pass.,El.vinduer,0.123
Kjørekomput. premium,Kjørecomputer,0.489
Mørke ruter varerom,Kjørecomputer,0.113
35 3FA VWGROUP DEI Without roof insert (standard roof),ABS-Bremser,0.039
Skuff u/førersete,Oppvarmede seter,0.097
"""Emergency Assist"", ""Traffic Jam Assist"", ""Lane Assist"" and ""Side Assist""",Sentrallås,0.037
"""Front Assist"" incl. city ANB for ACC high",Airbag foran,0.044
"""KEYLESS ENTRY"" locking system without safe lock",Sentrallås,0.077
"Adaptive cruise control (with ""follow to stop"") and speed limiter",Klimaanlegg,0.054
"""Light Assist"" high beam control",Sentrallås,0.06
"""Rear View"" reverseringskamera",Servostyring,0.105
1.6i-S L FB16 H4 Used 2023 Engine,,0.0
4-Sensor / 4-Channel ABS with Electronic Brake-Force Distribution,ABS-Bremser,0.069
4-hjulstrekk,Vinterhjul,0.221
60 / 40 Spilt-folding Rear Seats,Antispinn,0.144
Active Torque Vectoring,Servostyring,0.053
Adaptiv cruise control (med follow to stop) og fartbegrenser,Antiskrens,0.11
Dual-zone Automatic Air-conditioning System,Airbag foran,0.072
Dynamic steering,Servostyring,0.078
26 1PE VWGROUP ABR Wheel locks with extended theft protection,,0.0
Komfort telefonforberedelse,Oppvarmede seter,0.071
Høykvalitets stoffinnredning,Antispinn,0.037
ISO-FIX Adapted Child Seat Anchors,Isofix,0.457
Idle Stop System,,0.0
Keyless Access and Push-button Start System,Startsperre,0.124
Kjørecomputer (MFD) med fargedisplay,Kjørecomputer,0.648
"Kjørelys med automatisk lysbryter og ""Leaving Home""-funksjon samt manuell ""Coming Home""-funksjon",Multifunksjonsratt,0.265
Kjøretøydynamikksystem,Kjørecomputer,0.126
"Komfort startfunksjon ""Press &amp; Drive"" i instrumentpanelet",Multifunksjonsratt,0.204
"Korsryggstøtte, elektr. justerbar for venstre forseterygg",Elektriske speil,0.155
32 2V1 VWGROUP FRI Dust and pollen filter,Vinterhjul,0.028
LED Daytime Running Lights,Servostyring,0.021
LED Headlamps with Auto Leveliser,ABS-Bremser,0.051
"31 2UC VWGROUP SWP Sports suspension, body lowered by approx. 15 mm",Startsperre,0.08
30 2JG VWGROUP STF Body-colored bumpers,Startsperre,0.051
3 0EA VWGROUP EDF Installation differentiation for transmission MQ100 -- vehicle components --,Sentrallås,0.115
29 1Z0 VWGROUP KRM Initial standard fuel filling,Startsperre,0.036
28 1T2 VWGROUP VBK Warning triangle,Elektriske speil,0.044
27 1S1 VWGROUP BOW Tool kit and jack,Bluetooth,0.095
High navigation unit,,0.0
High Grade Multifunction Display,Multifunksjonsratt,0.354
Dynamisk kjørelyskontroll (Dynamisk kurvelys),Kjørecomputer,0.089
Engine Immobiliser,ABS-Bremser,0.059
ENGINE FB16AVZHJE,,0.0
Electric interface for external use,Vinterhjul,0.149
34 3D1 VWGROUP MIK Center console incl. beverage holder in front and rear,Vinterhjul,0.056
Electronic differential lock XDS,Antiskrens,0.146
Elektrisk grensesnitt for ekstern bruk,Elektriske speil,0.348
Elektronisk differensialsperre XDS,Startsperre,0.263
Elektronisk stabiliseringsprogram (ESP),Elektriske speil,0.227
Emergency braking front assist incl. city ANB without ACC,Sommerhjul,0.04
EyeSight Driver Assist Technology,,0.0
Headlamp Washers,,0.0
Fog lights and cornering light,Servostyring,0.054
33 2WA VWGROUP ZBR Without additional tires,,0.0
Fuel Consumption 7.0L/100k,Multifunksjonsratt,0.035
GT Edition Aerokit &amp; Roof Spoiler,,0.0
GT Edition Alloy Wheels,Sentrallås,0.089
GT Edition Emblems,ABS-Bremser,0.087
GT Edition Leather Seats,,0.0
Harman Kardon High End,Oppvarmede seter,0.065
automatisk avblendbart,Antiskrens,0.135
386 MOBILE PRE.-INSTALLATION (MTUS),Sentrallås,0.062
359U TANZANITE BLUE METALLIC FINISH,Bluetooth,0.136
Fjernkon. for dieselvarme,Oppvarmede seter,0.166
Aktive hodestøtter foran og bak,Airbag foran,0.201
3500kg tilhengervekt,Servostyring,0.061
Led-bremselys m/arb.,ABS-Bremser,0.324
Robustgulv i kunststoff,,0.0
Velour/kunstlær,,0.0
"19"" 5xtrippel-eiket Matt Tech Black Diamond Cut aluminiumsfelg, 158",Lettmet. felg vinter,0.078
711 Bright Silver metallic,Sentrallås,0.073
Automatisk bremsing etter en kollisjon,ABS-Bremser,0.184
R-Design Nubuck tekstil/Fine Nappa Perforated Leather Charcoal i Charcoal interiør (RB0R),Vinterhjul,0.059
"7"" Fargeskjerm",,0.0
Parkeingssensor bak,Sentrallås,0.082
OTOC,,0.0
avblendbare og Oppvarmede sidespeil,Oppvarmede seter,0.491
Wiper deicer,Startsperre,0.083
Vindusvisker bakrute,El.vinduer,0.192
707 Crystal White Pearl,Startsperre,0.045
Tretthetsvarsler (DAA),Lettmet. felg vinter,0.073
"18"" 10-doble Multi Tech Black Diamond Cut lettmetallfelger, 1038",Lettmet. felg vinter,0.351
Sidespeil med integrerte blinklys,Elektriske speil,0.18
Ledd Kjørelys,Kjørecomputer,0.226
Appel Car Play,,0.0
Skyvedør med vindu begge sider,El.vinduer,0.202
"Radio med USB, Bluetooth",Bluetooth,0.809
Førarass pakke GTDAC,,0.0
Heavyduty dynamo 240A,,0.0
Instr.gruppe m fargskjerm,,0.0
Kollisionsvarn autobroms,Oppvarmede seter,0.043
Kollisjonspute førerside,Kjørecomputer,0.151
LED vareromsbelysning,Oppvarmede seter,0.049
komfort skillevegg m/ lasteluke,Klimaanlegg,0.062
