,From,To,Similarity
6400,utvendige speil med automatisk nedblending,lakkerte utvendige speil,0.547
6401,innvendig speil med automatisk nedblending,lakkerte utvendige speil,0.367
6402,utvendige/innvendige speil med automatisk nedblending,lakkerte utvendige speil,0.565
6403,avantgarde-pakke interiør,skinninteriør,0.255
6404,avantgarde pakke interiør,skinninteriør,0.279
6405,p14 avantgarde-pakke interiør,skinninteriør,0.235
6406,avant-garde-pakke interiør,skinninteriør,0.255
6407,google maps basert navigasjon,navigasjonssystem,0.407
6408,google basert navigasjon,navigasjonssystem,0.446
6409,sort,regnsensor,0.229
6410,sorte,lakkerte utvendige speil,0.199
6411,sport,,0.0
6412,04ex interior surface andesit sillver matte,skinninteriør,0.119
6413,s4ex interior surface andesit sillver matte,skinninteriør,0.118
6414,gt silver metallic,metallic lakk,0.587
6415,hightech silver metallic,metallic lakk,0.451
6416,• u2 gt silver metallic,metallic lakk,0.587
6417,362 hermes communications module lte,air condition,0.075
6418,362 hermes - communication module lte,air condition,0.076
6419,34u services for remote access premium,abs-bremser,0.128
6420,services for remote access premium,abs-bremser,0.136
6421,fm-radio,radio fm,0.577
6422,fm radio,radio fm,1.0
6423,lumbar support&amp;&amp; driver and passenger,sentrallås,0.054
6424,488 lumbar support&amp;&amp; driver and passenger,sentrallås,0.052
6425,890u cavansite blue - metallic finish,metallic lakk,0.364
6426,890u cavansite blue metallic finish,metallic lakk,0.364
6427,first edition,air condition,0.432
6428,"""first edition""",air condition,0.432
6429,el. bagasjeromsåpner/lukker,navigasjonssystem,0.091
6430,elektrisk bagasjeromsåpner/lukker,elektriske speil,0.291
6431,delt baksete 40/60,skinnseter,0.122
6432,delt bakseterygg 40/60,ryggekamera,0.177
6433,delt baksete 60/40,skinnseter,0.128
6434,delt baksete 40/20/40,skinnseter,0.106
6435,delte bakseter  40 / 20 / 40,beltevarsler,0.259
6436,-automatic high beam control (ihc),cruisekontroll,0.174
6437,automatic high beam control plus (ihc+),cruisekontroll,0.165
6438,- automatic high beam control,cruisekontroll,0.19
6439,automatic high beam control plus,cruisekontroll,0.178
6440,238 aktiver spurhalte-assistent,beltevarsler,0.067
6441,aktiver spurhalte-assistent,beltevarsler,0.071
6442,251a leather - black / anthracite,antispinn,0.056
6443,201a leather - black / anthracite,antispinn,0.058
6444,251 251 - leather - black / anthracite,antispinn,0.05
6445,solgardiner i sideruter bak.,airbag foran side,0.131
6446,solgardiner i siderutene bak,airbag foran side,0.126
6447,"festekroker i gulv, 6stk",regulerbart ratt,0.085
6448,festekroker i gulv,regulerbart ratt,0.101
6449,nøkkelfritt start og låsesystem,diesel-partikkelfilter,0.18
6450,nøkkelfri start og låssystem,navigasjonssystem,0.236
6451,s6uh trafikkinformasjon,navigasjonssystem,0.115
6452,6uh trafikkinformasjon,navigasjonssystem,0.123
6453,6uh - trafikk informasjon,navigasjonssystem,0.132
6454,led vareromsbelysning,beltevarsler,0.106
6455,led vareromsbelysn.,beltevarsler,0.114
6456,0319 integrated universal remote control,cruisekontroll,0.127
6457,319 integrated universal remote control,cruisekontroll,0.133
6458,0319  integrated universal remote control,cruisekontroll,0.127
6459,319 - integrated universal remote control,cruisekontroll,0.133
6460,04hc heat comfort package,kjørecomputer,0.07
6461,04hb heat comfort package,kjørecomputer,0.069
6462,04hcheat comfort package,kjørecomputer,0.061
6463,4hcheat comfort package,kjørecomputer,0.066
6464,04hc warmth comfort package,alarm,0.069
6465,- road sign recognition system,air condition,0.187
6466,road sign recognition system,air condition,0.187
6467,06nm mini connected,air condition,0.057
6468,6nm mini connected,air condition,0.062
6469,audi connectstyring mmi plus og pro,servostyring,0.274
6470,- audi connectstyring mmi plus og pro,servostyring,0.274
6471,to eksosrør,,0.0
6472,4 eksosrør,,0.0
6473,sportsligere motorlyd,lakkerte utvendige speil,0.072
6474,sportslig motorlyd,startsperre,0.066
6475,ekstralys led-bar,sentrallås,0.238
6476,ekstralys led,sentrallås,0.286
6477,ryggmassasje i forsetene,ryggekamera,0.158
6478,• ryggmassasje i forsetene,ryggekamera,0.158
6479,ryggmassasje i forseter,ryggekamera,0.164
6480,4v9 mini excitement package,sideairbager,0.05
6481,4v9 - mini excitement package,sideairbager,0.05
6482,4v9 mini excitement pakage,sideairbager,0.049
6483,0940 special equipment bmw individual,lakkerte utvendige speil,0.065
6484,special equipment bmw individual,lakkerte utvendige speil,0.073
6485,760 bmw individual shadow line høyglans,air condition,0.062
6486,760 - bmw individual shadow line høyglans,air condition,0.062
6487,760 bmw individual shadowline høyglans,air condition,0.057
6488,varmer m/ app-styring,servostyring,0.358
6489,varmer m/ app styring,servostyring,0.442
6490,4va - mini driving modes,vinterdekk,0.083
6491,4va mini driving modes,vinterdekk,0.083
6492,s5aa rear fog light,,0.0
6493,5aa rear fog light,,0.0
6494,rear fog light,,0.0
6495,05aa rear fog light,,0.0
6496,1n3 power steering plus,parkeringsensor bak,0.104
6497,1n3 len power steering plus,parkeringsensor bak,0.101
6498,mbux hyperscreen,handsfree opplegg,0.084
6499,pag mbux hyperscreen,handsfree opplegg,0.078
6500,* svart taktrekk,vinterdekk,0.137
6501,- svart taktrekk,vinterdekk,0.137
6502,intellisafe pakke,metallic lakk,0.155
6503,intellisafe pro pakke,metallic lakk,0.149
6504,587 logo-projisering via speil,elektriske speil,0.159
6505,logo-projisering via speil,elektriske speil,0.17
6506,824 a/c packages for cold countries,diesel-partikkelfilter,0.062
6507,a/c packages for cold countries,diesel-partikkelfilter,0.068
6508,med sidekoll.pute - passajersiden,airbag foran side,0.198
6509,sidekoll.pute - passajersiden,airbag foran side,0.2
6510,vinterhjul piggfrie,vinterhjul,0.638
6511,"vinterhjul, piggfrie",vinterhjul,0.638
6512,vinterhjul piggfri,vinterhjul,0.664
6513,r-design sportspedaler,startsperre,0.237
6514,r-design sportspedal,startsperre,0.252
6515,715 m aerodynamikkpakke,diesel-partikkelfilter,0.073
6516,715 m aerodynamikk pakke,diesel-partikkelfilter,0.082
6517,715 - m aerodynamikk pakke,diesel-partikkelfilter,0.082
6518,nøkkelfri / smart start,startsperre,0.244
6519,nøkkelfri smart start,startsperre,0.244
6520,ventilerte seter (avkjøling),lakkerte utvendige speil,0.177
6521,ventilerte seter (kjøling),lakkerte utvendige speil,0.217
6522,ventilerte forseter (varme/kjøling),oppvarmede seter,0.242
6523,led-hovedlykter med variabel lysfordeling,vinterdekk,0.09
6524,- led-hovedlykter med variabel lysfordeling og las,vinterdekk,0.089
6525,med utvidet sikkerhetssystem,navigasjonssystem,0.205
6526,utvidet sikkerhetssystem,navigasjonssystem,0.207
6527,av/på bryter for airbag,airbag foran,0.497
6528,av bryter for airbag,airbag foran,0.569
6529,av og på bryter for airbag,airbag foran,0.569
6530,reifendruckkontrolle,cruisekontroll,0.218
6531,475 reifendruckkontrolle,cruisekontroll,0.211
6532,elektrisk innklappbare speil inkludert belysning,elektriske speil,0.395
6533,* elektrisk innklappbare speil inkludert belysning,elektriske speil,0.395
6534,4+1 setekonfigurasjon,cruisekontroll,0.136
6535,* 4+1 setekonfigurasjon,cruisekontroll,0.136
6536,4+1 setekonfigurasion,cruisekontroll,0.133
6537,air conditioning scopes for cold countries,air condition,0.533
6538,- air conditioning scopes for cold countries,air condition,0.533
6539,619 cornering illumination,air condition,0.082
6540,cornering illumination,air condition,0.091
6541,s863 dealer list europe,sideairbager,0.116
6542,s863a dealer list europe,sideairbager,0.107
6543,863 dealer list europe,sideairbager,0.129
6544,546 automatisk hastighetsregulering,regulerbart ratt,0.333
6545,automatisk hastighetsregulering,regulerbart ratt,0.352
6546,546 automatisk hasteregulering,regulerbart ratt,0.406
6547,351 ecall-nødanropssystem,navigasjonssystem,0.173
6548,ecall-nødanropssystem,navigasjonssystem,0.181
6549,351 ecall nødanropssystem,navigasjonssystem,0.195
6550,351 ecall-nødanropsystem,navigasjonssystem,0.109
6551,351 e-call nødanringssystem,navigasjonssystem,0.204
6552,bt telefoni,elektriske speil,0.076
6553,- bt telefon,elektriske speil,0.082
6554,parkeringshjelp.,parkeringsensor bak,0.4
6555,parkeringshjelp +,parkeringsensor bak,0.4
6556,parkeringshjelper,parkeringsensor bak,0.366
6557,parkeringshjelp plus,parkeringsensor bak,0.378
6558,cup holder,,0.0
6559,cupholder,,0.0
6560,cup holders,,0.0
6561,burmester surround lydanlegg,klimaanlegg,0.275
6562,burmester surroundanlegg,klimaanlegg,0.286
6563,nm02 heated front seats heated front seats,cruisekontroll,0.044
6564,heated front seats: heated front seats.,cruisekontroll,0.048
6565,"- hengerfeste, innfellbar",lettmet. felg vinter,0.066
6566,"hengerfeste, el.innfellbart",regulerbart ratt,0.089
6567,362 hermes - kommunikasjonsmodul lte,navigasjonssystem,0.14
6568,362 hermes kommunikasjonsmodul lte,navigasjonssystem,0.14
6569,360 hermes kommunikasjonsmodul,navigasjonssystem,0.146
6570,360 hermes - kommunikasjonsmodul umts,navigasjonssystem,0.132
6571,displacement 3,antispinn,0.125
6572,displacement 0,antispinn,0.125
6573,tilhengerfeste innfellbar,lettmet. felg vinter,0.059
6574,- tilhengerfeste - innfellbart *,regulerbart ratt,0.085
6575,tilhegerfeste el innfellbart,regulerbart ratt,0.08
6576,3 ac tilhengerfeste el innfelbart,regulerbart ratt,0.086
6577,hengerfeste innfelbar,lettmet. felg vinter,0.066
6578,266 distronic plus med styreassistent og stop&amp;go pilot,fjernstyrt sentrallås,0.106
6579,266 distronic plus med styreassistent og stop&amp;go,fjernstyrt sentrallås,0.114
6580,side-airbag,sideairbager,0.934
6581,sideairbag,sideairbager,0.934
6582,comfort mode,kjørecomputer,0.11
6583,komfort mode,airbag foran,0.07
6584,775 bmw individual innertaktrekk antrasitt,sentrallås,0.092
6585,775 bmw individual taktrekk i antrasitt,sentrallås,0.101
6586,bmw individual innertaktrekk antrasitt,sentrallås,0.096
6587,skyvedør høyre side varerom,airbag foran side,0.142
6588,skyvedør h. side varerom,airbag foran side,0.158
6589,dynamisk cruise kontroll,cruisekontroll,0.646
6590,dynamisk cruisekontroll,cruisekontroll,0.794
6591,- dynamisk cruisecontroll,cruisekontroll,0.525
6592,6uh traffic information,air condition,0.097
6593,6uh - traffic information,air condition,0.097
6594,fjernstyrt parkeringsvarmer webasto,fjernstyrt sentrallås,0.461
6595,fjernbetjent parkeringsvarmer/webasto,parkeringsensor bak,0.262
6596,artico/stoff  black,servostyring,0.118
6597,artico/stoff black,servostyring,0.118
6598,-sports eksos,startsperre,0.098
6599,- sportseksos,cruisekontroll,0.14
6600,sports eksos,startsperre,0.098
6601,- rs sportseksos,cruisekontroll,0.14
6602,sport eksos,,0.0
6603,parkeringspakke m/ 360 kamera,parkeringsensor bak,0.395
6604,parkeringspakke 360 kamera,parkeringsensor bak,0.395
6605,parkeringspakke med 360  kamera,parkeringsensor bak,0.388
6606,parkeringspakke med 360 grader kamera,parkeringsensor bak,0.346
6607,810 premium sound system,navigasjonssystem,0.167
6608,810 premium soundsystem,navigasjonssystem,0.152
6609,oppgradert autopilot,radio fm,0.124
6610,oppgradert autopilot eap,radio fm,0.116
6611,eap oppgradert autopilot,radio fm,0.116
6612,m rear spoiler,regulerbart ratt,0.078
6613,rear spoiler,regulerbart ratt,0.078
6614,performance control,cruisekontroll,0.195
6615,performance controll,cruisekontroll,0.251
6616,8u8 i-size-marking (isofix successor),isofix,0.388
6617,8u8 i-size marking (isofix successor),isofix,0.419
6618,b59 bryter for valg av kjøreprogram (agility select),kjørecomputer,0.127
6619,b59 bryter for valg a kjøreprogram (agility select),kjørecomputer,0.127
6620,bryter for valg av kjøreprogram (agility select),kjørecomputer,0.132
6621,valg av kjøreprogram (agility select),kjørecomputer,0.13
6622,927 avgassrensing euro 6-teknikk,antiskrens,0.108
6623,avgassrensing euro 6-teknikk,antiskrens,0.114
6624,isofix for barnesete,isofix,0.667
6625,isofix for barnestol,isofix,0.646
6626,isofix for barneseter,isofix,0.659
6627,forberedelse til hengerfeste,oppvarmede seter,0.079
6628,forberedelse tilhengerfeste,oppvarmede seter,0.074
6629,gul turteller,regulerbart ratt,0.2
6630,- gul turteller,regulerbart ratt,0.2
6631,vindavviser vinduer,el.vinduer,0.46
6632,vindavviser vindu,el.vinduer,0.285
6633,høydejusterbare  seter,regulerbart ratt,0.204
6634,høydejusterbare seter,regulerbart ratt,0.204
6635,"frontrute, oppvarmet under vinduspusser",oppvarmede seter,0.339
6636,frontrute oppvarmet under vinduspusser,oppvarmede seter,0.339
6637,eco-modus,kjørecomputer,0.221
6638,eco modus,kjørecomputer,0.163
6639,statusindikator på belter bak,beltevarsler,0.199
6640,statusindikator belte bak,beltevarsler,0.2
6641,u01 statusindikator belte bak,beltevarsler,0.19
6642,8u8 i-size-merking (isofix-etterfølger),isofix,0.384
6643,8u8 i-size merking (isofix-etterfølger),isofix,0.408
6644,elektrisk justerbar korsryggstøtte,elektriske speil,0.341
6645,elektrisk justering av korsryggstøtte,elektriske speil,0.349
6646,493 storage compartment package,kjørecomputer,0.129
6647,493     storage compartment package,kjørecomputer,0.129
6648,infotainmentpakke komb navi plus,navigasjonssystem,0.118
6649,- infotainmentpakke med navi plus,navigasjonssystem,0.123
6650,porsche electric sport sound,elektriske speil,0.097
6651,* porsche electric sport sound,elektriske speil,0.097
6652,"seat adjustment, electric, with memory",elektrisk sete m. memory,0.395
6653,"- seat adjustment, electric, with memory",elektrisk sete m. memory,0.395
6654,elektrisk justerbar setelengde passasjersete,elektrisk sete m. memory,0.413
6655,elektrisk justerbar setevinkel passasjersete,elektrisk sete m. memory,0.384
6656,bose sound system,navigasjonssystem,0.207
6657,bose soundsystem,navigasjonssystem,0.18
6658,volvo alarm m/blokkert låseleie,alarm,0.368
6659,l102 volvo alarm m/blokkert låseleie,alarm,0.334
6660,radio comp.media (rtd),radio fm,0.454
6661,radio comp. media (rtd),radio fm,0.545
6662,elektrisk sete m/minne,elektrisk sete m. memory,0.576
6663,elektriske seter m/minne,elektriske speil,0.622
6664,elektriske seter med minne,elektriske speil,0.645
6665,elektriske seter foran m/minne,elektriske speil,0.575
6666,fullelektriske seter m/minne,elektriske speil,0.478
6667,justerbare nakkestøtter,regulerbart ratt,0.193
6668,justerbare nakkestøtter bak,regulerbart ratt,0.19
6669,justerbar nakkestøtte,regulerbart ratt,0.206
6670,justerbare nakkestøtter foran,airbag foran,0.263
6671,reperasjonskit,navigasjonssystem,0.206
6672,dekkreperasjonskit,navigasjonssystem,0.171
6673,reparasjonskit,navigasjonssystem,0.214
6674,gjennomlastingsluke,parkeringsensor bak,0.065
6675,3x0 gjennomlastingsluke,parkeringsensor bak,0.061
6676,3x0  uten gjennomlastingsluke,parkeringsensor bak,0.059
6677,gjennomlastningsluke,parkeringsensor bak,0.061
6678,tiptronic betjening på rattet,skinnratt,0.114
6679,tiptronic betjening på ratt,skinnratt,0.119
6680,parking assistant plus,parkeringsensor bak,0.16
6681,- parking assistant plus,parkeringsensor bak,0.16
6682,digital radiomottak (dab+),radio dab+,0.469
6683,digital radiomottaker (dab),radio dab+,0.45
6684,digital radiomottaker,radio fm,0.384
6685,2 hjulsett,vinterhjul,0.33
6686,to hjulsett,vinterhjul,0.33
6687,aut. klimaanlegg,klimaanlegg,0.969
6688,auto klimaanlegg,klimaanlegg,0.939
6689,lys sensor,regnsensor,0.526
6690,lyssensor,regnsensor,0.404
6691,"534 klimaautomatikk, 2 soner",klimaanlegg,0.326
6692,0534 klimaautomatikk 3 soners,klimaanlegg,0.3
6693,989 identifikasjonsmerke under frontruten,multifunksjonsratt,0.142
6694,989 identifikasjonsmerke under vindruten,multifunksjonsratt,0.137
6695,518 media interface,vinterdekk,0.149
6696,media interface,vinterdekk,0.169
6697,multimedia interface,multifunksjonsratt,0.19
6698,- adaptive cruise control plus (distronic plus),cruisekontroll,0.416
6699,adaptive cruise control plus (distronic plus),cruisekontroll,0.416
6700,warning triangle,aux-inngang,0.078
6701,no warning triangle,aux-inngang,0.078
6702,8u6 assistance system steering wheel control changeover,navigasjonssystem,0.119
6703,8u6 - assistance system steering wheel control changeover,navigasjonssystem,0.119
6704,assistance system steering wheel control changeover,navigasjonssystem,0.126
6705,el. justerbare og innfellbare utvendige speil,lakkerte utvendige speil,0.48
6706,el. justerbare og innklappbare utvendige speil,lakkerte utvendige speil,0.448
6707,1b3 communication module ece version,air condition,0.108
6708,1b3 communication module ece versionl,xenonlys,0.108
6709,oppvarmet vindusspylersystem,oppvarmede seter,0.365
6710,875 oppvarmet vindusspylersystem,oppvarmede seter,0.347
6711,875 oppvarmet vindusvaskesystem,oppvarmede seter,0.341
6712,oppvarmet vindusspyler system,oppvarmede seter,0.388
6713,usb-pakke plus,lakkerte utvendige speil,0.092
6714,usb-c pakke plus,lakkerte utvendige speil,0.111
6715,72b usb-pakke plus,lakkerte utvendige speil,0.081
6716,usb pakke plus,lakkerte utvendige speil,0.137
6717,03aa roof railing black,takrails,0.219
6718,s3aa roof railing black,takrails,0.217
6719,roof railing black,takrails,0.278
6720,trådløs lading av telefon,radio fm,0.157
6721,6nw trådløs lading av telefon,radio fm,0.143
6722,trådløs ladding telefon,elektriske speil,0.048
6723,a89 reduced-friction,air condition,0.077
6724,reduced-friction,air condition,0.084
6725,7ug navigation module for pcm,navigasjonssystem,0.277
6726,navigation module for pcm,navigasjonssystem,0.303
6727,677 hifi system professional,navigasjonssystem,0.141
6728,hifi system professional,navigasjonssystem,0.154
6729,549 connect 20 high (ntg6),air condition,0.057
6730,549 connect 20 høy (ntg6),air condition,0.061
6731,525 connect 20 high (ntg7),air condition,0.057
6732,u18 automatische kindersitzerkennung akse,skinnseter,0.051
6733,u18 automatische kindersitzerkennung (akse),skinnseter,0.051
